datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2020-08-31,28.5,21.6,25.1,29.9,21.6,25.6,19.3,70.9,0.0,0.0,0.0,,0.0,0.0,20.5,21.5,26.8,1011.4,37.3,11.3,166.0,14.4,8,,2020-08-31T06:30:04,2020-08-31T19:38:05,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-01,30.6,21.6,25.5,31.5,21.6,26.0,19.3,69.9,0.0,0.0,0.0,,0.0,0.0,18.4,19.6,39.2,1006.9,14.2,11.2,197.2,16.8,8,,2020-09-01T06:31:03,2020-09-01T19:36:28,0.47,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-02,30.9,21.7,25.8,31.6,21.7,26.1,19.4,69.9,0.018,100.0,4.17,rain,0.0,0.0,20.5,21.5,36.7,1010.3,7.6,10.7,187.1,16.2,8,,2020-09-02T06:32:02,2020-09-02T19:34:50,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-03,30.2,22.5,25.9,32.4,22.5,26.8,20.5,73.0,0.0,0.0,0.0,,0.0,0.0,22.3,18.6,38.2,1014.3,13.5,11.2,188.0,16.3,7,,2020-09-03T06:33:02,2020-09-03T19:33:12,0.54,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-04,27.0,21.8,24.2,28.3,21.8,24.4,18.7,71.7,0.088,100.0,4.17,rain,0.0,0.0,70.6,38.9,357.6,1015.6,46.9,11.1,64.9,5.7,4,,2020-09-04T06:34:01,2020-09-04T19:31:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-05,25.5,20.9,22.8,25.5,20.9,22.8,15.5,64.1,1.512,100.0,8.33,rain,0.0,0.0,27.7,27.0,353.5,1016.5,43.3,11.1,125.3,10.9,8,,2020-09-05T06:35:00,2020-09-05T19:29:54,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-06,27.1,18.0,22.8,27.7,18.0,22.9,16.5,67.9,0.0,0.0,0.0,,0.0,0.0,16.6,15.0,9.8,1014.1,10.4,11.3,235.2,20.4,8,,2020-09-06T06:36:00,2020-09-06T19:28:14,0.64,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-07,28.5,20.0,24.4,29.3,20.0,24.7,18.2,69.0,0.0,0.0,0.0,,0.0,0.0,18.4,22.3,36.2,1015.0,11.7,11.1,175.4,15.2,7,,2020-09-07T06:36:59,2020-09-07T19:26:34,0.67,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-08,28.5,20.0,24.6,29.9,20.0,25.0,19.3,73.0,0.0,0.0,0.0,,0.0,0.0,29.5,30.0,26.0,1018.9,33.0,11.1,233.2,20.2,8,,2020-09-08T06:37:58,2020-09-08T19:24:53,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-09,28.4,22.7,24.8,29.6,22.7,25.2,18.8,70.0,0.0,0.0,0.0,,0.0,0.0,31.7,29.2,38.1,1020.9,31.3,11.1,191.3,16.6,8,,2020-09-09T06:38:57,2020-09-09T19:23:13,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-10,27.9,20.5,24.2,29.4,20.5,24.5,17.7,67.5,0.0,0.0,0.0,,0.0,0.0,42.5,27.1,39.3,1015.1,19.2,11.1,177.7,15.3,8,,2020-09-10T06:39:57,2020-09-10T19:21:31,0.75,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-11,26.7,21.6,24.1,27.8,21.6,24.2,18.4,70.9,0.0,0.0,0.0,,0.0,0.0,27.7,32.1,32.9,1012.4,39.2,11.1,62.0,5.3,2,,2020-09-11T06:40:56,2020-09-11T19:19:50,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-12,27.5,22.7,24.8,28.9,22.7,25.0,19.1,70.9,0.0,0.0,0.0,,0.0,0.0,27.7,30.6,29.3,1014.4,49.3,11.1,249.2,21.6,8,,2020-09-12T06:41:55,2020-09-12T19:18:09,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-13,27.5,23.8,25.0,29.2,23.8,25.2,20.2,75.5,0.316,100.0,8.33,rain,0.0,0.0,16.6,29.9,16.2,1017.3,62.3,11.2,136.3,11.7,5,,2020-09-13T06:42:55,2020-09-13T19:16:27,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-14,28.5,22.7,25.3,29.5,22.7,25.5,19.0,69.2,0.0,0.0,0.0,,0.0,0.0,46.4,32.0,26.0,1020.1,29.2,11.1,238.8,20.6,8,,2020-09-14T06:43:54,2020-09-14T19:14:45,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-15,28.6,22.7,25.2,28.7,22.7,25.3,17.7,64.0,0.0,0.0,0.0,,0.0,0.0,51.8,32.5,38.2,1019.6,12.9,11.2,150.4,13.0,7,,2020-09-15T06:44:54,2020-09-15T19:13:03,0.93,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-16,26.9,22.6,24.4,28.0,22.6,24.6,18.3,68.8,0.0,0.0,0.0,,0.0,0.0,48.2,31.9,40.4,1017.3,35.3,11.2,242.7,21.0,8,,2020-09-16T06:45:53,2020-09-16T19:11:20,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-17,27.8,21.7,24.3,28.8,21.7,24.5,18.3,70.0,0.0,0.0,0.0,,0.0,0.0,22.3,18.8,15.5,1014.2,35.2,11.2,235.2,20.2,8,,2020-09-17T06:46:53,2020-09-17T19:09:38,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-18,27.6,19.2,23.6,28.4,19.2,23.7,18.3,73.3,0.0,0.0,0.0,,0.0,0.0,41.5,25.1,29.6,1015.3,27.2,11.0,230.8,19.9,8,,2020-09-18T06:47:52,2020-09-18T19:07:56,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-19,24.6,19.9,22.0,24.6,19.9,22.0,14.1,61.5,0.061,100.0,4.17,rain,0.0,0.0,51.8,30.0,28.1,1018.6,54.7,11.2,235.0,20.4,8,,2020-09-19T06:48:52,2020-09-19T19:06:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-20,21.8,19.7,20.7,21.8,19.7,20.7,14.3,66.8,0.278,100.0,8.33,rain,0.0,0.0,31.7,24.6,24.9,1016.4,71.2,11.1,108.9,9.4,4,,2020-09-20T06:49:52,2020-09-20T19:04:31,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-21,25.5,20.0,22.4,25.5,20.0,22.4,15.7,66.2,0.007,100.0,4.17,rain,0.0,0.0,22.3,25.3,36.2,1016.8,56.2,11.2,206.5,17.7,7,,2020-09-21T06:50:52,2020-09-21T19:02:49,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-22,24.7,19.5,22.1,24.7,19.5,22.1,14.9,63.9,0.0,0.0,0.0,,0.0,0.0,22.3,21.9,43.0,1017.9,43.8,11.1,227.4,19.7,8,,2020-09-22T06:51:52,2020-09-22T19:01:06,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-23,24.4,18.3,21.6,24.4,18.3,21.6,16.7,73.8,0.0,0.0,0.0,,0.0,0.0,16.6,12.4,304.1,1015.6,43.6,11.1,224.4,19.4,7,,2020-09-23T06:52:52,2020-09-23T18:59:24,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2020-09-24,27.3,18.0,22.7,27.2,18.0,22.7,15.8,67.3,0.0,0.0,0.0,,0.0,0.0,11.2,10.4,160.3,1012.4,24.6,10.8,192.8,16.5,7,,2020-09-24T06:53:53,2020-09-24T18:57:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-25,26.5,21.8,23.6,26.5,21.8,23.6,17.9,70.8,0.012,100.0,4.17,rain,0.0,0.0,16.6,10.8,264.5,1010.0,39.7,11.0,219.6,18.9,7,,2020-09-25T06:54:53,2020-09-25T18:56:00,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2020-09-26,29.2,20.1,25.3,29.0,20.1,25.4,16.7,61.3,0.0,0.0,0.0,,0.0,0.0,14.8,16.8,177.5,1003.7,19.6,11.1,166.8,14.3,5,,2020-09-26T06:55:54,2020-09-26T18:54:18,0.31,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-27,27.8,20.5,24.1,27.6,20.5,24.1,16.0,62.2,4.753,100.0,8.33,rain,0.0,0.0,55.4,32.3,250.6,1010.7,27.3,11.1,224.1,19.3,8,,2020-09-27T06:56:55,2020-09-27T18:52:36,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-28,27.5,18.3,23.3,27.4,18.3,23.3,15.2,62.1,0.0,0.0,0.0,,0.0,0.0,9.4,10.2,251.9,1016.5,16.8,11.2,205.6,17.8,7,,2020-09-28T06:57:56,2020-09-28T18:50:55,0.38,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-29,26.4,18.3,22.1,26.4,18.3,22.1,18.1,78.7,12.107,100.0,12.5,rain,0.0,0.0,27.7,22.2,308.6,1011.0,43.7,10.9,170.7,14.9,7,,2020-09-29T06:58:57,2020-09-29T18:49:14,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-09-30,21.7,16.4,19.3,21.7,16.4,19.3,12.6,66.6,0.178,100.0,8.33,rain,0.0,0.0,33.5,18.3,319.0,1009.5,45.9,11.1,124.5,10.7,6,,2020-09-30T06:59:59,2020-09-30T18:47:33,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
